,HYG,SPY,TLT,^VIX,IG_Spread
2005-01-03,,81.60600280761719,44.90962600708008,14.079999923706055,3.06
2005-01-04,,80.60883331298828,44.43894958496094,13.979999542236328,2.97
2005-01-05,,80.05255126953125,44.676815032958984,14.09000015258789,3.04
2005-01-06,,80.4596176147461,44.70714569091797,13.579999923706055,3.09
2005-01-07,,80.34422302246094,44.80835723876953,13.489999771118164,3.07
2005-01-10,,80.72415161132812,44.879207611083984,13.229999542236328,3.1
2005-01-11,,80.16787719726562,45.142364501953125,13.1899995803833,3.19
2005-01-12,,80.43244171142578,45.20313262939453,12.5600004196167,3.2
2005-01-13,,79.7879867553711,45.63837814331055,12.84000015258789,3.24
2005-01-14,,80.20860290527344,45.633304595947266,12.430000305175781,3.22
2005-01-17,,,,,3.21
2005-01-18,,81.04293060302734,45.78511047363281,12.470000267028809,3.24
2005-01-19,,80.19500732421875,45.91670608520508,13.180000305175781,3.24
2005-01-20,,79.70658874511719,46.0078010559082,13.829999923706055,3.33
2005-01-21,,79.21820068359375,46.05836868286133,14.359999656677246,3.37
2005-01-24,,79.06217193603516,46.255767822265625,14.649999618530273,3.37
2005-01-25,,79.28600311279297,45.82050323486328,14.0600004196167,3.29
2005-01-26,,79.52342224121094,45.90656661987305,13.4399995803833,3.27
2005-01-27,,79.65911102294922,45.82050323486328,13.239999771118164,3.23
2005-01-28,,79.65911102294922,46.281097412109375,13.239999771118164,3.27
2005-01-31,,80.15430450439453,46.41265869140625,12.819999694824219,3.29
2005-02-01,,80.66307067871094,46.3389778137207,12.029999732971191,3.26
2005-02-02,,80.90728759765625,46.44569396972656,11.65999984741211,3.2
2005-02-03,,80.69698333740234,46.42026138305664,11.789999961853027,3.15
2005-02-04,,81.55848693847656,47.06541061401367,11.210000038146973,3.19
2005-02-07,,81.44998931884766,47.415931701660156,11.729999542236328,3.17
2005-02-08,,81.54493713378906,47.68517303466797,11.600000381469727,3.14
2005-02-09,,80.93443298339844,47.81214904785156,12.0,3.22
2005-02-10,,81.22611999511719,47.167022705078125,11.510000228881836,3.16
2005-02-11,,81.92484283447266,47.13653564453125,11.430000305175781,3.12
2005-02-14,,81.86378479003906,47.283851623535156,11.520000457763672,3.11
2005-02-15,,82.16903686523438,47.045127868652344,11.270000457763672,3.06
2005-02-16,,82.2232894897461,46.86728286743164,11.100000381469727,2.99
2005-02-17,,81.55848693847656,46.572662353515625,11.770000457763672,2.99
2005-02-18,,81.66704559326172,46.15610885620117,11.180000305175781,2.93
2005-02-21,,,,,2.93
2005-02-22,,80.45277404785156,45.95294952392578,13.140000343322754,2.92
2005-02-23,,81.02938842773438,46.10529327392578,12.390000343322754,2.93
2005-02-24,,81.56527709960938,46.003719329833984,11.569999694824219,2.88
2005-02-25,,82.37252044677734,46.22721481323242,11.489999771118164,2.85
2005-02-28,,81.82984161376953,45.72941970825195,12.079999923706055,2.83
2005-03-01,,82.23690032958984,45.71515655517578,12.039999961853027,2.81
2005-03-02,,82.19613647460938,45.653995513916016,12.5,2.84
2005-03-03,,82.23006439208984,45.62849426269531,12.930000305175781,2.83
2005-03-04,,83.25440216064453,46.12279510498047,11.9399995803833,2.86
2005-03-07,,83.29503631591797,46.306243896484375,12.260000228881836,2.82
2005-03-08,,82.9830322265625,45.86803436279297,12.399999618530273,2.76
2005-03-09,,82.06050109863281,45.11890411376953,12.699999809265137,2.71
2005-03-10,,82.24364471435547,45.39413070678711,12.489999771118164,2.78
2005-03-11,,81.66704559326172,45.0628662109375,12.800000190734863,2.73
2005-03-14,,82.17581176757812,45.33293533325195,12.390000343322754,2.77
2005-03-15,,81.49746704101562,45.0475959777832,13.149999618530273,2.77
2005-03-16,,80.80551147460938,45.32276916503906,13.489999771118164,2.89
2005-03-17,,80.96829986572266,45.470550537109375,13.289999961853027,3.0
2005-03-18,,80.72793579101562,45.18516540527344,13.140000343322754,2.98
2005-03-21,,80.42826080322266,45.05777359008789,13.609999656677246,3.08
2005-03-22,,79.61106872558594,44.67561340332031,14.270000457763672,3.08
2005-03-23,,79.6791763305664,44.88961410522461,14.0600004196167,3.19
2005-03-24,,79.77449798583984,44.9813346862793,13.420000076293945,3.18
2005-03-25,,,,,
2005-03-28,,79.8902816772461,44.70615768432617,13.75,3.19
2005-03-29,,79.35909271240234,44.97113037109375,14.489999771118164,3.28
2005-03-30,,80.48277282714844,45.19536209106445,13.640000343322754,3.38
2005-03-31,,80.33296203613281,45.52151107788086,14.020000457763672,3.52
2005-04-01,,79.97199249267578,45.67491912841797,14.09000015258789,3.55
2005-04-04,,80.10821533203125,45.664730072021484,14.109999656677246,3.59
2005-04-05,,80.48957824707031,45.54704666137695,13.680000305175781,3.53
2005-04-06,,80.7687759399414,45.70563507080078,13.149999618530273,3.48
2005-04-07,,81.20465850830078,45.33736801147461,12.329999923706055,3.41
2005-04-08,,80.36019134521484,45.49592208862305,12.619999885559082,3.39
2005-04-11,,80.42146301269531,45.741416931152344,11.979999542236328,3.47
2005-04-12,,80.83687591552734,46.16595458984375,11.300000190734863,3.58
2005-04-13,,79.88346862792969,46.053443908691406,13.3100004196167,3.61
2005-04-14,,78.84150695800781,45.98183059692383,14.529999732971191,3.75
2005-04-15,,77.73825073242188,46.590476989746094,17.739999771118164,3.89
2005-04-18,,77.97660064697266,46.5546989440918,16.559999465942383,3.98
2005-04-19,,78.59634399414062,47.0047721862793,14.960000038146973,4.0
2005-04-20,,77.49992370605469,46.88714599609375,16.920000076293945,3.94
2005-04-21,,79.0049819946289,46.39611053466797,14.40999984741211,3.82
2005-04-22,,78.705322265625,46.78486251831055,15.380000114440918,3.86
2005-04-25,,79.22289276123047,46.92293930053711,14.619999885559082,3.88
2005-04-26,,78.45333099365234,46.851314544677734,14.90999984741211,3.92
2005-04-27,,78.75979614257812,47.01499938964844,14.869999885559082,4.04
2005-04-28,,77.77234649658203,47.36284637451172,16.860000610351562,4.16
2005-04-29,,78.82787322998047,47.28096389770508,15.3100004196167,4.15
2005-04-30,,,,,4.19
2005-05-02,,79.27054595947266,47.27069854736328,15.119999885559082,4.17
2005-05-03,,79.40678405761719,47.39905548095703,14.529999732971191,4.13
2005-05-04,,80.0196533203125,46.9832649230957,13.850000381469727,4.12
2005-05-05,,79.99243927001953,47.0910530090332,13.979999542236328,4.13
2005-05-06,,79.74046325683594,46.74201202392578,14.050000190734863,4.07
2005-05-09,,80.23760223388672,46.7882194519043,13.75,4.05
2005-05-10,,79.40678405761719,47.12185287475586,14.90999984741211,4.13
2005-05-11,,79.84261322021484,47.265567779541016,14.449999809265137,4.23
2005-05-12,,78.9640884399414,47.45033645629883,16.1200008392334,4.28
2005-05-13,,78.80746459960938,47.63515853881836,16.31999969482422,4.39
2005-05-16,,79.5429458618164,47.57868957519531,15.680000305175781,4.49
2005-05-17,,80.07411193847656,47.71215057373047,14.569999694824219,4.57
2005-05-18,,80.89822387695312,48.030399322509766,13.630000114440918,4.55
2005-05-19,,81.23869323730469,47.90721893310547,13.319999694824219,4.4
2005-05-20,,81.12291717529297,47.96366500854492,13.140000343322754,4.33
2005-05-23,,81.5723876953125,48.33837127685547,12.949999809265137,4.29
2005-05-24,,81.38170623779297,48.47183609008789,12.6899995803833,4.28
2005-05-25,,81.32041931152344,48.133056640625,12.579999923706055,4.16
2005-05-26,,81.75627899169922,48.11766052246094,12.239999771118164,4.07
2005-05-27,,81.89249420166016,48.16899490356445,12.149999618530273,4.02
2005-05-30,,,,,4.02
2005-05-31,,81.36809539794922,48.764434814453125,13.289999961853027,4.13
2005-06-01,,82.06272888183594,49.361576080322266,12.359999656677246,4.13
2005-06-02,,82.23979187011719,49.48004913330078,11.84000015258789,4.0
2005-06-03,,81.82443237304688,49.07307434082031,12.149999618530273,3.9
2005-06-06,,81.74945068359375,49.330665588378906,12.279999732971191,3.99
2005-06-07,,81.8107681274414,49.722206115722656,12.390000343322754,3.99
2005-06-08,,81.66089630126953,49.48519515991211,12.699999809265137,3.98
2005-06-09,,82.04914093017578,49.44401168823242,12.079999923706055,4.01
2005-06-10,,81.85845184326172,48.88758087158203,11.960000038146973,3.91
2005-06-13,,82.11719512939453,48.59392166137695,11.649999618530273,3.88
2005-06-14,,82.30786895751953,48.274478912353516,11.789999961853027,3.83
2005-06-15,,82.46450805664062,48.362083435058594,11.460000038146973,3.78
2005-06-16,,82.6756591796875,48.604248046875,11.149999618530273,3.83
2005-06-17,,82.98198699951172,48.59908676147461,11.479999542236328,3.81
2005-06-20,,83.00933837890625,48.51662826538086,11.470000267028809,3.81
2005-06-21,,83.05720520019531,48.87215042114258,11.079999923706055,3.82
2005-06-22,,83.12557220458984,49.464622497558594,11.050000190734863,3.9
2005-06-23,,81.95633697509766,49.41307830810547,12.130000114440918,3.88
2005-06-24,,81.35459899902344,49.66040802001953,12.180000305175781,3.93
2005-06-27,,81.4708251953125,49.79433059692383,12.520000457763672,3.96
2005-06-28,,82.15467071533203,49.454315185546875,11.579999923706055,3.86
2005-06-29,,81.93583679199219,49.376991271972656,11.770000457763672,3.81
2005-06-30,,81.4913558959961,49.82007598876953,12.039999961853027,3.85
2005-07-01,,81.73067474365234,49.216278076171875,11.399999618530273,3.75
2005-07-04,,,,,3.75
2005-07-05,,82.3871078491211,48.75100326538086,11.680000305175781,3.71
2005-07-06,,81.69650268554688,49.01983642578125,12.270000457763672,3.75
2005-07-07,,82.01787567138672,49.123191833496094,12.489999771118164,3.78
2005-07-08,,82.95460510253906,48.921600341796875,11.449999809265137,3.67
2005-07-11,,83.37857055664062,48.921600341796875,11.279999732971191,3.61
2005-07-12,,83.59736633300781,48.647579193115234,10.949999809265137,3.54
2005-07-13,,83.7136001586914,48.57518768310547,10.84000015258789,3.51
2005-07-14,,84.04181671142578,48.45112991333008,10.8100004196167,3.46
2005-07-15,,83.99394989013672,48.58036422729492,10.329999923706055,3.43
2005-07-18,,83.65892028808594,48.21852111816406,10.770000457763672,3.4
2005-07-19,,84.11699676513672,48.38908386230469,10.449999809265137,3.43
2005-07-20,,84.40422821044922,48.652809143066406,10.229999542236328,3.43
2005-07-21,,83.91188049316406,47.991065979003906,10.970000267028809,3.36
2005-07-22,,84.4725570678711,48.363258361816406,10.520000457763672,3.39
2005-07-25,,84.23326873779297,48.18747329711914,11.100000381469727,3.36
2005-07-26,,84.3358383178711,48.2650146484375,10.989999771118164,3.35
2005-07-27,,84.64353942871094,48.18747329711914,10.359999656677246,3.31
2005-07-28,,85.17689514160156,48.61654281616211,10.520000457763672,3.33
2005-07-29,,84.60933685302734,48.13582992553711,11.569999694824219,3.25
2005-07-31,,,,,3.3
2005-08-01,,84.54782104492188,47.95676803588867,12.079999923706055,3.29
2005-08-02,,85.05377197265625,47.80110549926758,11.75,3.29
